id,white,citizen,female,education,age,agebreak,income,married,children,attend,bornagain,pid7,pid3,ideology,treatname,treatment,voter,voted,voter3,voted3,votesurer,votesured,repvote,demvote,american,connected,natid,natidc,natidbin,rr1,rr2,rr3,rr4,rrscale,weights,weightstrim
2343,1,1,1,5,42,5,10,1,1,1,0,2,1,2,Control,1,2,6,1,3,0,1,0,1,3,3,6,1,1,2,2,2,2,8,0.167493775,0.303709445
2403,1,1,1,5,44,5,5,1,1,1,0,1,1,1,Control,1,2,6,1,3,0,1,0,1,2,3,5,1,1,5,1,1,1,8,0.101898191,0.238113861
2474,1,1,0,4,33,3,7,1,0,1,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,3,3,6,1,1,2,2,2,2,8,0.176677091,0.312892762
2545,1,1,1,3,47,6,5,1,1,4,0,2,1,2,Control,1,2,6,1,3,0,1,0,1,3,1,4,1,1,3,2,3,3,11,0.65876247,0.79497814
2654,1,1,0,5,35,4,8,1,1,2,1,1,1,3,Control,1,2,6,1,3,0,1,0,1,4,2,6,1,1,4,3,2,3,12,0.053088998,0.189304668
3060,1,1,1,5,45,6,2,0,0,2,1,2,1,6,Control,1,2,6,1,3,0,1,0,1,3,2,5,1,1,4,4,5,4,17,0.80079713,0.9370128
3143,1,1,1,2,21,1,5,0,0,1,0,2,1,3,Control,1,2,6,1,3,0,1,0,1,3,3,6,1,1,5,4,4,4,17,2.297449264,2.433664934
3191,1,1,1,5,54,7,6,0,0,1,0,2,1,2,Control,1,2,6,1,3,0,1,0,1,3,2,5,1,1,2,1,1,1,5,0.212761715,0.348977385
3224,1,1,0,3,22,1,2,0,0,1,0,4,2,4,Control,1,2,6,1,3,0,1,0,1,3,3,6,1,1,3,2,2,2,9,2.639057707,2.775273377
242,1,1,1,6,51,7,10,0,0,1,0,3,1,2,Control,1,2,6,1,3,0,1,0,1,3,4,7,2,1,2,2,4,2,10,1.141828282,1.278043952
376,1,1,1,5,26,2,8,1,0,2,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,3,4,7,2,1,2,2,2,1,7,0.110252085,0.246467755
616,1,1,1,5,22,1,8,0,0,1,0,4,2,4,Control,1,2,6,1,3,0,1,0,1,3,4,7,2,1,3,3,3,3,12,0.711816762,0.848032432
721,1,1,1,5,38,4,8,0,0,1,0,3,1,1,Control,1,2,6,1,3,0,1,0,1,3,4,7,2,1,1,1,2,1,5,0.0976672,0.23388287
801,1,1,0,3,18,1,6,0,1,1,0,2,1,1,Control,1,2,6,1,3,0,1,0,1,4,3,7,2,1,2,1,2,1,6,0.334759405,0.470975075
803,1,1,1,5,31,3,2,1,0,1,0,2,1,2,Control,1,2,6,1,3,0,1,0,1,3,4,7,2,1,2,1,2,1,6,0.227897999,0.364113669
932,1,1,1,3,18,1,8,0,0,1,0,1,1,1,Control,1,2,6,1,3,0,1,0,1,3,4,7,2,1,1,1,2,2,6,0.354185672,0.490401342
995,1,1,1,5,29,2,5,0,0,1,0,4,2,2,Control,1,2,6,1,3,0,1,0,1,3,4,7,2,1,3,2,2,3,10,0.092744554,0.228960224
1178,1,1,1,5,41,5,8,0,0,1,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,4,3,7,2,1,1,1,1,5,8,0.133997873,0.270213543
1787,1,1,1,6,33,3,8,0,0,1,0,3,1,2,Control,1,2,6,1,3,0,1,0,1,3,4,7,2,1,2,2,2,2,8,0.187509391,0.323725061
2092,1,1,1,5,24,1,9,0,0,1,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,3,4,7,2,1,1,1,2,1,5,0.442541057,0.578756727
2595,1,1,1,2,45,6,6,1,1,1,0,3,1,3,Control,1,2,6,1,3,0,1,0,1,4,3,7,2,1,4,4,4,4,16,0.373267845,0.509483515
2769,1,1,0,3,30,3,7,1,1,1,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,4,3,7,2,1,3,2,2,1,8,0.176767545,0.312983215
3026,1,1,1,3,43,5,1,0,0,1,1,1,1,1,Control,1,2,6,1,3,0,1,0,1,4,3,7,2,1,3,2,2,2,9,0.164331963,0.300547633
271,1,1,1,5,64,9,6,0,0,1,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,4,4,8,3,2,2,2,3,2,9,0.783696766,0.919912436
