id,white,citizen,female,education,age,age,agebreak,income,married,children,attend,bornagain,pid7,pid3,pid2,ideology,treatname,treatment,voter,voted,voter3,voted3,votesurer,votesured,repvote,demvote,american,connected,natid,natidc,natidbin,born,citizenship,lived,english,christian,respect,feel,ancestor,exclude,exclude4,wordtreat
2487,1,1,1,4,68,68,10,2,0,0,1,1,4,2,,6,Control,1,4,4,2,2,,,0,0,5,2,7,1,1,4,4,4,4,4,3,3,3,29,4,Prescriptive
2488,1,1,0,3,41,41,5,5,1,1,1,0,1,1,1,1,Control,1,1,7,1,3,0,1,0,1,4,3,7,1,1,3,4,3,4,,2,2,,,,Descriptive
2489,1,1,0,3,58,58,8,11,1,0,1,0,2,1,1,4,DemPat,3,2,6,1,3,0,1,0,1,4,3,7,1,1,3,4,4,4,4,4,4,3,30,4,Prescriptive
2494,1,1,0,3,51,51,7,5,0,0,1,0,2,1,1,2,Control,1,4,4,2,2,,,0,0,3,3,6,1,1,3,3,3,4,2,2,3,3,23,2,Prescriptive
2495,1,1,1,2,82,82,11,6,0,0,6,1,6,3,2,4,RepPat,2,7,1,3,1,1,0,1,0,5,4,9,3,2,4,4,4,4,4,4,4,4,32,4,Control
2496,1,1,1,3,47,47,6,6,0,1,5,1,1,1,1,6,DemPat,3,1,7,1,3,0,1,0,1,5,5,10,4,2,4,4,4,4,4,4,4,4,32,4,Descriptive
2497,1,1,1,5,60,60,9,2,0,0,3,1,5,3,2,6,DemPat,3,5,3,3,1,1,0,1,0,4,3,7,1,1,2,4,3,3,3,4,3,1,23,2,Prescriptive
2498,1,1,0,3,35,35,4,5,1,1,1,0,7,3,2,6,RepPat,2,,,,,,,,,,,,,,,,,,,,,,,,
2504,1,1,0,2,70,70,11,3,0,0,1,0,1,1,1,2,Control,1,1,7,1,3,0,1,0,1,5,4,9,3,2,4,4,4,4,4,4,3,3,30,4,Descriptive
2507,1,1,1,5,42,42,5,9,0,0,3,0,7,3,2,6,Control,1,2,6,1,3,0,1,0,1,5,5,10,4,2,1,4,1,4,2,4,4,1,21,1,Control
2508,1,1,0,5,68,68,10,8,1,0,1,0,2,1,1,3,DemPat,3,2,6,1,3,0,1,0,1,5,4,9,3,2,4,4,4,3,2,4,4,2,27,3,Control
2510,1,1,0,6,75,75,11,11,1,0,5,0,5,3,2,5,RepPat,2,4,4,2,2,,,0,0,5,4,9,3,2,4,4,4,4,4,4,4,3,31,4,Descriptive
2512,1,1,1,5,59,59,8,7,0,0,5,1,6,3,2,6,Control,1,5,3,3,1,1,0,1,0,5,3,8,2,1,3,4,3,4,2,4,2,3,25,3,Control
2514,1,1,0,6,37,37,4,9,0,0,1,0,2,1,1,2,Control,1,4,4,2,2,,,0,0,3,3,6,1,1,2,2,3,2,1,4,3,1,18,1,Control
2516,1,1,1,5,27,27,2,8,0,0,1,0,1,1,1,1,DemPat,3,1,7,1,3,0,1,0,1,2,3,5,1,1,1,2,1,1,1,2,1,1,10,1,Control
2517,1,1,1,5,30,30,3,9,1,1,1,0,3,1,1,1,RepPat,2,4,4,2,2,,,0,0,2,3,5,1,1,1,1,1,1,1,4,4,1,14,1,Prescriptive
2518,1,1,1,2,62,62,9,1,0,0,1,0,6,3,2,7,RepPat,2,4,4,2,2,,,0,0,5,4,9,3,2,4,4,4,4,3,4,4,2,29,4,Prescriptive
